group,aug,arch,short-exp-name,exp-name,metric,msmarco,trec-covid,bioasq,nfcorpus,nq,hotpotqa,fiqa,signal1m,trec-news,arguana,webis-touche2020,dbpedia-entity,scidocs,fever,climate-fever,scifact,robust04,quora,cqadupstack,Avg-11 (CPT),Avg-13 (Aggretriever),Avg-14 (public),Avg-14+MM,BM25,Contriever,SPAR,Spider,SQ-3 (<7),MQ-8 (8-13),LQ-3 (>17),xSD-1,SD-3 (<60),MD-6 (75-150),LD-6 (>160),Phrase-2,Question-7,Sentence-5,MM-1,Wiki-5,NonWiki-9,Scientific-4,BioMed-2,QA-3,Argument-2,Entity-1,FactCheck-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,36.9,37.3,28.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doc-Anchor,Doc-Anchor,Inbatch,Inbatch-Doc-Anchor,wiki.extphrase3.seed477.inbatch.bert-base-uncased.avg.dot.d128d256.step100k.bs1024.lr5e5,ndcg@10,0.156,0.363,0.000,0.271,0.223,0.446,0.125,0.000,0.000,0.263,0.137,0.269,0.116,0.427,0.101,0.500,0.000,0.745,0.183,33.2,30.7,29.8,28.8,42.0,36.9,37.3,28.1,22.6,33.5,27.0,74.5,48.7,21.2,27.5,27.0,31.7,28.2,15.6,29.3,30.0,31.2,31.7,26.5,20.0,26.9,34.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doc-Anchor,Doc-Anchor+RC,Inbatch,Inbatch-Doc-Anchor+RC,wiki.extphrase3-50.seed477.inbatch.bert-base-uncased.avg.dot.d128d256.step100k.bs1024.lr5e5,ndcg@10,0.165,0.323,0.000,0.277,0.224,0.389,0.141,0.000,0.000,0.341,0.095,0.257,0.126,0.212,0.110,0.607,0.000,0.767,0.208,32.0,29.8,29.1,28.3,42.0,36.9,37.3,28.1,20.9,32.6,28.0,76.7,47.1,17.9,29.5,26.7,30.7,27.9,16.5,23.8,32.1,33.3,30.0,25.1,21.8,25.7,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doc-Anchor,Doc-Anchor,MoCo,MoCo-Doc-Anchor,wiki.extphrase3.seed477.moco-2e14.bert-base-uncased.avg.dot.q128d256.step100k.bs1024.lr5e5,ndcg@10,0.167,0.495,0.000,0.256,0.235,0.496,0.141,0.000,0.000,0.380,0.146,0.291,0.128,0.405,0.136,0.542,0.000,0.768,0.209,36.9,34.0,33.1,32.0,42.0,36.9,37.3,28.1,23.1,36.6,33.7,76.8,51.9,22.5,32.4,27.3,35.6,31.8,16.7,31.3,34.1,35.5,37.5,29.1,26.3,29.1,36.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doc-Anchor,Doc-Anchor+RC,MoCo,MoCo-Doc-Anchor+RC,wiki.extphrase3-50.seed477.moco-2e14.bert-base-uncased.avg.dot.q128d256.step100k.bs1024.lr5e5,ndcg@10,0.179,0.518,0.000,0.268,0.278,0.481,0.164,0.000,0.000,0.367,0.183,0.273,0.130,0.509,0.170,0.603,0.000,0.778,0.233,39.2,36.3,35.4,34.2,42.0,36.9,37.3,28.1,24.1,40.2,33.9,77.8,51.0,27.1,34.5,27.0,37.6,35.6,17.9,34.2,36.0,38.0,39.3,30.8,27.5,27.3,42.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,36.9,37.3,28.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QExt-Self,QExt-Self,Inbatch,Inbatch-QExt-Self,wiki.ExtQ-selfdot-chunk16.seed477.inbatch.contriever256-special.bert-base-uncased.avg.dot.q128d256.step100k.bs1024.lr5e5,ndcg@10,0.114,0.302,0.000,0.164,0.191,0.390,0.118,0.000,0.000,0.088,0.023,0.126,0.095,0.372,0.141,0.596,0.000,0.712,0.199,27.6,25.5,25.1,24.2,42.0,36.9,37.3,28.1,10.4,32.3,20.6,71.2,40.9,20.4,21.1,14.5,27.6,25.8,11.4,24.4,25.5,28.9,23.3,23.3,5.5,12.6,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QExt-Self,QExt-Self+RC,Inbatch,Inbatch-QExt-Self+RC,wiki.ExtQ50-selfdot-chunk16.seed477.inbatch.contriever256-special.bert-base-uncased.avg.dot.q128d256.step100k.bs1024.lr5e5,ndcg@10,0.146,0.259,0.000,0.156,0.221,0.360,0.113,0.000,0.000,0.367,0.035,0.208,0.090,0.325,0.132,0.547,0.000,0.772,0.202,29.8,27.6,27.1,26.2,42.0,36.9,37.3,28.1,13.3,31.6,28.6,77.2,44.7,19.9,24.2,18.2,28.0,29.2,14.6,24.9,28.2,26.3,20.8,23.1,20.1,20.8,33.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QExt-Self,QExt-Self,MoCo,MoCo-QExt-Self,wiki.ExtQ-selfdot-chunk16.seed477.moco-2e14.contriever256-special.bert-base-uncased.avg.dot.q128d256.step100k.bs1024.lr5e5,ndcg@10,0.099,0.291,0.000,0.161,0.140,0.281,0.091,0.000,0.000,0.022,0.044,0.187,0.080,0.187,0.108,0.384,0.000,0.693,0.149,22.3,20.5,20.1,19.4,42.0,36.9,37.3,28.1,13.1,25.2,13.7,69.3,38.7,13.5,16.4,17.4,24.1,15.6,9.9,18.1,21.3,22.9,22.6,17.1,3.3,18.7,22.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QExt-Self,QExt-Self+RC,MoCo,MoCo-QExt-Self+RC,wiki.ExtQ50-selfdot-chunk16.seed477.moco-2e14.contriever256-special.bert-base-uncased.avg.dot.q128d256.step100k.bs1024.lr5e5,ndcg@10,0.122,0.278,0.000,0.143,0.170,0.312,0.087,0.000,0.000,0.297,0.045,0.194,0.085,0.201,0.108,0.404,0.000,0.686,0.141,25.1,23.2,22.5,21.8,42.0,36.9,37.3,28.1,12.8,25.7,23.9,68.6,39.7,14.1,20.9,16.9,24.6,21.9,12.2,19.7,24.1,22.8,21.1,19.0,17.1,19.4,23.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,36.9,37.3,28.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QExt-BM25,QExt-BM25,Inbatch,Inbatch-QExt-BM25,wiki.ExtQ-bm25-chunk16.seed477.inbatch.contriever256-special.bert-base-uncased.avg.dot.q128d256.step100k.bs1024.lr5e5,ndcg@10,0.114,0.302,0.000,0.164,0.191,0.390,0.118,0.000,0.000,0.088,0.023,0.126,0.095,0.372,0.141,0.596,0.000,0.712,0.199,27.6,25.5,25.1,24.2,42.0,36.9,37.3,28.1,10.4,32.3,20.6,71.2,40.9,20.4,21.1,14.5,27.6,25.8,11.4,24.4,25.5,28.9,23.3,23.3,5.5,12.6,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QExt-BM25,QExt-BM25+RC,Inbatch,Inbatch-QExt-BM25+RC,wiki.ExtQ50-bm25-chunk16.seed477.inbatch.contriever256-special.bert-base-uncased.avg.dot.q128d256.step100k.bs1024.lr5e5,ndcg@10,0.153,0.282,0.000,0.180,0.223,0.353,0.128,0.000,0.000,0.278,0.034,0.181,0.097,0.276,0.124,0.580,0.000,0.769,0.214,28.9,27.0,26.6,25.8,42.0,36.9,37.3,28.1,13.2,32.1,25.1,76.9,43.4,19.3,24.2,18.0,28.6,27.1,15.3,23.1,28.5,28.5,23.1,23.5,15.6,18.1,32.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QExt-BM25,QExt-BM25,MoCo,MoCo-QExt-BM25,wiki.ExtQ-bm25-chunk16.seed477.moco-2e14.contriever256-special.bert-base-uncased.avg.dot.q128d256.step100k.bs1024.lr5e5,ndcg@10,0.158,0.195,0.000,0.215,0.183,0.366,0.097,0.000,0.000,0.162,0.035,0.196,0.101,0.213,0.071,0.526,0.000,0.660,0.218,24.9,23.2,23.1,22.6,42.0,36.9,37.3,28.1,14.9,27.4,20.0,66.0,40.8,15.7,20.6,20.6,25.1,21.5,15.8,20.6,24.5,25.9,20.5,21.5,9.8,19.6,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QExt-BM25,QExt-BM25+RC,MoCo,MoCo-QExt-BM25+RC,wiki.ExtQ50-bm25-chunk16.seed477.moco-2e14.contriever256-special.bert-base-uncased.avg.dot.q128d256.step100k.bs1024.lr5e5,ndcg@10,0.171,0.292,0.000,0.253,0.243,0.409,0.150,0.000,0.000,0.356,0.090,0.175,0.126,0.269,0.167,0.585,0.000,0.759,0.226,31.9,29.8,29.3,28.5,42.0,36.9,37.3,28.1,17.3,33.1,31.1,75.9,44.8,21.1,28.4,21.4,31.0,30.1,17.1,25.3,31.5,31.4,27.3,26.7,22.3,17.5,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,36.9,37.3,28.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QExt-PLM,QExt-PLM,Inbatch,Inbatch-QExt-PLM,wiki.ExtQ-plm-chunk16.seed477.inbatch.contriever256-special.bert-base-uncased.avg.dot.qd128.step100k.bs1024.lr5e5,ndcg@10,0.150,0.284,0.000,0.151,0.268,0.312,0.141,0.000,0.000,0.039,0.089,0.169,0.106,0.458,0.124,0.570,0.000,0.764,0.212,28.2,26.7,26.3,25.6,42.0,36.9,37.3,28.1,13.6,35.0,15.8,76.4,41.5,24.1,20.6,16.0,29.6,26.0,15.0,26.6,26.2,27.8,21.8,24.0,6.4,16.9,38.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QExt-PLM,QExt-PLM+RC,Inbatch,Inbatch-QExt-PLM+RC,wiki.ExtQ50-plm-chunk16.seed477.inbatch.contriever256-special.bert-base-uncased.avg.dot.qd128.step100k.bs1024.lr5e5,ndcg@10,0.151,0.280,0.000,0.218,0.250,0.348,0.128,0.000,0.000,0.111,0.081,0.216,0.104,0.397,0.138,0.571,0.000,0.771,0.218,29.6,27.8,27.4,26.5,42.0,36.9,37.3,28.1,17.1,34.0,19.9,77.1,44.5,22.6,22.7,21.7,29.7,26.4,15.1,27.0,27.6,29.3,24.9,24.2,9.6,21.6,36.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QExt-PLM,QExt-PLM,MoCo,MoCo-QExt-PLM,wiki.ExtQ-plm-chunk16.seed477.moco-2e14.contriever256-special.bert-base-uncased.avg.dot.q128d256.step100k.bs1024.lr5e5,ndcg@10,0.167,0.260,0.000,0.241,0.231,0.345,0.128,0.000,0.000,0.445,0.119,0.223,0.115,0.267,0.106,0.574,0.000,0.786,0.213,31.8,29.5,29.0,28.1,42.0,36.9,37.3,28.1,19.5,32.2,29.9,78.6,45.1,18.9,29.2,23.2,29.8,30.1,16.7,23.5,32.0,29.8,25.1,23.5,28.2,22.3,31.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QExt-PLM,QExt-PLM+RC,MoCo,MoCo-QExt-PLM+RC,wiki.ExtQ50-plm-chunk16.seed477.moco-2e14.contriever256-special.bert-base-uncased.avg.dot.q128d256.step100k.bs1024.lr5e5,ndcg@10,0.186,0.440,0.000,0.265,0.286,0.448,0.155,0.000,0.000,0.323,0.150,0.246,0.121,0.530,0.208,0.609,0.000,0.786,0.230,37.8,35.1,34.3,33.2,42.0,36.9,37.3,28.1,22.0,39.5,32.6,78.6,49.3,28.2,31.8,25.6,35.6,35.8,18.6,34.4,34.2,35.9,35.3,29.7,23.7,24.6,44.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,36.9,37.3,28.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TQGen-Topic,TQGen-Topic,Inbatch,Inbatch-TQGen-Topic,wiki.T03b_topic.seed477.inbatch.bert-base-uncased.avg.dot.q128d256.step100k.bs1024.lr5e5,ndcg@10,0.213,0.624,0.000,0.303,0.297,0.543,0.212,0.000,0.000,0.328,0.214,0.316,0.135,0.677,0.159,0.609,0.000,0.769,0.258,43.2,39.9,38.9,37.7,42.0,36.9,37.3,28.1,27.8,44.8,34.3,76.9,54.3,32.1,36.9,30.9,41.7,38.1,21.3,39.8,38.3,41.7,46.3,35.1,27.1,31.6,48.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TQGen-Topic,TQGen-Topic+RC,Inbatch,Inbatch-TQGen-Topic+RC,wiki_T03b_topic50.seed477.inbatch.bert-base-uncased.avg.dot.q128d256.step100k.bs1024.lr5e5,ndcg@10,0.215,0.562,0.000,0.300,0.312,0.522,0.229,0.000,0.000,0.420,0.171,0.307,0.139,0.563,0.142,0.636,0.000,0.785,0.265,42.1,39.1,38.2,37.1,42.0,36.9,37.3,28.1,25.9,43.6,36.1,78.5,53.8,30.2,37.1,30.3,40.6,38.0,21.5,36.9,39.0,40.9,43.1,35.4,29.5,30.7,44.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TQGen-Topic,TQGen-Topic,MoCo,MoCo-TQGen-Topic,wiki.T03b_topic.seed477.moco-2e14.bert-base-uncased.avg.dot.q128d256.step100k.bs1024.lr5e5,ndcg@10,0.154,0.511,0.000,0.248,0.160,0.394,0.138,0.000,0.000,0.329,0.099,0.226,0.119,0.303,0.122,0.498,0.000,0.760,0.171,33.0,30.0,29.1,28.2,42.0,36.9,37.3,28.1,19.1,33.2,28.2,76.0,46.0,17.9,30.1,23.7,31.9,27.4,15.4,24.1,31.9,34.4,37.9,23.1,21.4,22.6,30.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TQGen-Topic,TQGen-Topic+RC,MoCo,MoCo-TQGen-Topic+RC,wiki_T03b_topic50.seed477.moco-2e14.contriever-256.bert-base-uncased.avg.dot.maxlen256.step100k.bs1024.lr5e5,ndcg@10,0.211,0.655,0.000,0.285,0.296,0.535,0.188,0.000,0.000,0.396,0.233,0.305,0.141,0.557,0.173,0.626,0.000,0.800,0.257,43.2,39.9,38.9,37.7,42.0,36.9,37.3,28.1,25.4,44.1,36.0,80.2,54.6,29.4,37.7,28.7,41.6,37.7,21.3,36.9,39.2,42.0,44.9,34.8,29.1,29.8,45.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,36.9,37.3,28.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TQGen-Title,TQGen-Title,Inbatch,Inbatch-TQGen-Title,wiki.T03b_title.seed477.inbatch.bert-base-uncased.avg.dot.q128d256.step100k.bs1024.lr5e5,ndcg@10,0.208,0.586,0.000,0.301,0.310,0.520,0.226,0.000,0.000,0.320,0.204,0.304,0.142,0.697,0.165,0.616,0.000,0.782,0.258,24.4,39.8,38.8,37.6,42.0,36.9,37.3,28.1,27.0,45.2,33.5,78.2,53.5,33.1,36.1,30.3,41.2,38.8,20.8,39.9,38.2,41.1,44.4,35.2,26.2,30.4,49.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TQGen-Title,TQGen-Title+RC,Inbatch,Inbatch-TQGen-Title+RC,wiki.T03b_title.seed477.moco-2e14.bert-base-uncased.avg.dot.q128d256.step100k.bs1024.lr5e5,ndcg@10,0.185,0.611,0.000,0.247,0.214,0.462,0.148,0.000,0.000,0.278,0.134,0.233,0.124,0.353,0.128,0.546,0.000,0.744,0.198,18.1,32.5,31.6,30.7,42.0,36.9,37.3,28.1,23.6,42.9,33.2,77.3,50.2,30.6,35.0,28.5,37.8,38.4,20.9,35.5,37.3,39.2,39.1,32.9,26.7,28.2,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TQGen-Title,TQGen-Title,MoCo,MoCo-TQGen-Title,wiki_T03b_title50.seed477.inbatch.bert-base-uncased.avg.dot.maxlen256.step100k.bs1024.lr5e5,ndcg@10,0.209,0.493,0.000,0.288,0.307,0.451,0.227,0.000,0.000,0.397,0.137,0.282,0.144,0.586,0.150,0.642,0.000,0.773,0.258,22.7,37.5,36.7,35.6,42.0,36.9,37.3,28.1,20.5,36.7,28.9,74.4,48.0,20.8,32.3,24.0,35.9,28.6,18.5,27.8,33.7,38.2,42.9,27.5,20.6,23.3,34.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TQGen-Title,TQGen-Title+RC,MoCo,MoCo-TQGen-Title+RC,wiki_T03b_title50.seed477.moco-2e14.contriever-256.bert-base-uncased.avg.dot.maxlen256.step100k.bs1024.lr5e5,ndcg@10,0.216,0.645,0.000,0.278,0.299,0.521,0.203,0.000,0.000,0.377,0.237,0.287,0.136,0.569,0.178,0.634,0.000,0.777,0.251,23.8,39.5,38.5,37.4,42.0,36.9,37.3,28.1,26.7,43.9,35.9,77.7,52.8,30.0,38.4,28.2,41.9,37.9,21.6,37.1,39.3,42.3,46.1,34.1,30.7,28.7,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,36.9,37.3,28.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TQGen-Absum,TQGen-AbSum,Inbatch,Inbatch-TQGen-AbSum,wiki.T03b_absum.seed477.inbatch.bert-base-uncased.avg.dot.q128d256.step100k.bs1024.lr5e5,ndcg@10,0.174,0.512,0.000,0.277,0.272,0.468,0.208,0.000,0.000,0.353,0.155,0.265,0.141,0.640,0.161,0.605,0.000,0.778,0.253,22.4,37.2,36.3,35.1,42.0,36.9,37.3,28.1,23.2,42.6,32.7,77.8,50.4,30.7,34.1,27.1,37.8,38.0,17.4,36.1,36.5,38.4,39.5,31.6,25.4,26.5,46.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
